Initialization Completed, Clock Speed 5
Time, Logical_Clock, Action, queue_length 
16:01:54, 1, sleep, 0
16:01:54, 2, sent message to both, 0
16:01:54, 3, sleep, 0
16:01:55, 4, sent message to second, 0
16:01:55, 5, sleep, 0
16:01:55, 6, recieved message, 0
16:01:55, 7, sleep, 0
16:01:55, 9, recieved message, 0
16:01:56, 10, recieved message, 0
16:01:56, 11, sent message to second, 0
16:01:56, 12, sent message to second, 0
16:01:56, 13, sleep, 0
16:01:56, 14, sent message to second, 0
16:01:57, 15, sleep, 0
16:01:57, 16, sent message to first, 0
16:01:57, 17, sleep, 0
16:01:57, 18, sleep, 0
16:01:57, 19, sent message to first, 0
16:01:58, 20, sleep, 0
16:01:58, 21, sleep, 0
16:01:58, 22, sleep, 0
16:01:58, 26, recieved message, 0
16:01:58, 27, sleep, 0
16:01:59, 28, sleep, 0
16:01:59, 29, sleep, 0
16:01:59, 30, sleep, 0
16:01:59, 31, sleep, 0
16:01:59, 32, sleep, 0
16:02:00, 33, sent message to first, 0
16:02:00, 34, sleep, 0
16:02:00, 35, sleep, 0
16:02:00, 36, sleep, 0
16:02:00, 39, recieved message, 0
16:02:01, 40, sleep, 0
16:02:01, 41, sleep, 0
16:02:01, 42, sent message to second, 0
16:02:01, 43, sleep, 0
16:02:01, 44, sent message to first, 0
16:02:02, 45, sleep, 0
16:02:02, 46, sleep, 0
16:02:02, 47, sleep, 0
16:02:02, 50, recieved message, 0
16:02:02, 51, recieved message, 0
16:02:03, 52, sleep, 0
16:02:03, 53, sleep, 0
16:02:03, 54, sleep, 0
16:02:03, 55, sent message to second, 0
16:02:03, 56, sent message to second, 0
16:02:04, 57, sent message to both, 0
16:02:04, 58, sent message to both, 0
16:02:04, 60, recieved message, 0
16:02:04, 62, recieved message, 0
16:02:04, 63, sent message to both, 0
16:02:05, 64, sleep, 0
16:02:05, 65, sent message to first, 0
16:02:05, 66, sleep, 0
16:02:05, 67, sleep, 0
16:02:05, 68, sent message to second, 0
16:02:06, 69, sleep, 0
16:02:06, 70, sent message to first, 0
16:02:06, 71, sent message to first, 0
16:02:06, 72, sleep, 0
16:02:06, 73, sent message to first, 0
16:02:07, 74, sleep, 0
16:02:07, 75, sleep, 0
16:02:07, 76, sleep, 0
16:02:07, 77, sleep, 0
16:02:07, 78, sent message to both, 0
16:02:08, 79, sleep, 0
16:02:08, 80, sent message to second, 0
16:02:08, 81, sleep, 0
16:02:08, 82, sent message to first, 0
16:02:08, 83, sleep, 0
16:02:09, 84, sent message to first, 0
16:02:09, 85, sleep, 0
16:02:09, 86, sent message to both, 0
16:02:09, 87, sleep, 0
16:02:09, 88, sent message to both, 0
